id,graphics,matchmaking,store & microtransactions,technical_issue,mechanics,developer_support,event,community,hero_design,difficulty,review
1,0,0,2,0,0,0,0,0,0,0,game thì hút máu vô cùng
2,0,0,0,2,0,0,0,0,0,0,sao tài khoản garena không vào được vậy
3,0,0,0,0,0,0,0,0,0,0,game mục nát lắm rồi nên xóa khỏi server việt nam
4,0,0,0,2,0,0,0,0,0,0,tệ hại không đăng nhập được
5,0,0,0,2,0,2,0,0,0,0,trải nghiệm quá tệ cần fix nhiều lỗi
6,0,2,0,0,0,0,0,2,0,0,"game bị tệ hại hả, nghĩ sao 1 trận mvp mà cộng có 20 điểm mà trận thua trừ hơn 40 điểm trong khi là mvp thua với gặp trẻ trâu toàn phá game nghĩ sao nó gặp địch là cứ phi vào địch rồi chết hết rồi chửi người ta ngu, game kiểu này bị đem ra so sánh với mấy game khác là đúng rồi còn thua xa roblox."
7,0,0,0,0,0,0,0,0,0,0,game tệ hại
8,0,0,0,0,2,1,0,0,1,0,a gà ơi sao a buff raz quá vậy xin a cân bằng lại làm ơn đó
9,0,0,0,0,0,1,0,0,0,0,đề nghị xác minh độ tuổi rồi mới cho chơi
10,0,0,0,0,0,0,0,0,0,0,game tệ hại vô cùng
11,0,2,0,0,0,2,0,2,0,0,"khung rank 6, team mình thì chơi như tệ hại. chơi kiểu gì mà tôi đi sp mà gây sát thương gần như cao nhất team. xem lại cái sắp xếp trận đi, thua mấy chục trận liên tiếp càng ngày càng chán"
12,0,0,0,0,0,0,0,0,0,0,game tệ hại
13,0,0,0,2,0,0,0,0,0,0,game không hay gì mình tải đã lâu mà không chơi được
14,0,0,0,0,0,0,0,2,0,0,game hay nhưng có 1 cái cộng đồng tệ hại nhất từng thấy
15,0,2,0,0,0,0,0,2,0,0,game tệ hại ghép trận tệ hại
16,0,0,0,2,0,2,0,0,0,0,đang chơi mà văng game hoài yêu cầu chỉnh sửa lại đừng chỉnh sửa gì nữa để yên như cũ đi
17,0,0,0,0,0,0,0,2,0,0,gặp toàn trẻ trâu
18,0,0,0,0,0,0,0,2,0,0,chơi toàn gặp phá game
19,0,0,0,0,0,0,0,0,0,0,tệ hại
20,0,0,2,0,2,2,0,0,2,0,"game tệ hại ra tướng mới thì st cao skin vài ngày lại bị hạ hút lên hút xuống cuối cùng cho bò đi ăn thợ săn nực cười garena trước sau cũng lụi tàn như , chiến dịch huyền thoại, ff thì ối rồi ôi có tiền nạp là khỏe game tệ hại"
21,0,0,0,0,0,0,0,0,0,0,đã con chém
22,0,2,0,0,0,0,0,0,0,0,ghép trận chơi như tệ hại
23,0,0,0,0,0,0,0,0,0,0,game rất hay
24,0,0,0,0,0,0,0,0,0,0,game tệ hại
25,0,0,0,2,0,2,0,0,0,0,hack map tràn lan luôn không hiểu nhà phát hành làm ăn kiểu gì
26,0,0,0,0,2,0,0,0,0,0,muốn con mới mà phải lên bậc c mới được chơi
27,0,0,0,2,0,1,0,0,0,0,vào game tài nguyên cứ tự tải mãi trong khi tôi không cần cứ tải hoài rất chi là phiền nhé mong là nhà phát hành sẽ giải quyết giúp
28,0,0,0,0,0,0,0,0,0,0,tệ hại vô cùng
29,0,0,0,2,0,0,0,0,0,0,tự nhiên sài 4g không chơi được trong khi t chơi game khác thì được?
30,0,0,0,0,0,0,0,0,0,0,game tệ hại
31,0,2,0,0,2,0,0,0,0,0,game không công bằng gặp toàn gì không mà mình còn bị mất sao game tệ hại
32,0,2,0,0,0,0,0,2,0,0,game hay nhưng giờ toàn hack
33,0,0,0,2,0,0,0,0,0,0,quá lag game cực kì lề mề khi xong trận 30 giây sau thì mới có nút tiếp tục
34,0,0,0,0,0,0,0,2,0,0,rep toàn gặp tệ hại phá game
35,0,2,0,0,0,0,0,0,0,0,ghép trận tệ hại
36,2,0,0,2,0,2,0,0,0,0,"từ khi game cập nhật phiên bản mới đến giờ rất nhiều người chơi bị văng game bị trừ uy tín oan uổng, cho dù máy mạnh cũng bị văng là sao vậy bắt phải giảm đồ họa xuống thấp nhất.chơi game để trải nghiệm hình ảnh, skin mà như vậy thì chơi chi cho mất thời gian. mong game hãy xem xét vấn đề này lại"
37,0,0,0,2,0,0,0,0,0,0,cập nhật xong không vô chơi được mà cũng chả thao tác được gì luôn trong khi máy vẫn bình thường
38,0,0,0,0,2,0,0,0,0,0,game như tệ hại chết có mấy mạng bảo phá game trừ uy tín như cơm bữa
39,0,0,0,2,0,0,0,0,0,0,cập nhật xong đang chơi cứ văng ra miết rất khó chịu
40,0,2,0,0,0,2,0,2,0,0,"yêu cầu game những người biết chữ thì hãy chơi , và xử lý buff bẩn và hack map , chơi game càng stress thêm ."
41,0,0,0,0,0,2,0,2,0,0,hack không tố cáo được
42,0,0,0,0,0,0,0,0,0,0,tệ
43,0,2,0,2,2,2,0,2,2,0,game dở không nên tải tài nguyên thì tải một ề dung lượng máy tôi mới mua nó chiếm gần hết bộ nhớ tướng thì mất cân bằng flo nó mạnh vô cùng giảm sức mạnh 18 lần vẫn không ăn thua thì xóa tệ hại đi để mất cân bằng cân bằng tướng không có tí gọi là cân bằng tel vs val giảm thì giảm dame cơ động vs thời gian khống chế tăng thời gian hồi chiêu vẫn như không toàn trẻ trâu có mấy câu rất bình thường mà chat không được leo rank thì khó có mấy thằng phá game với tranh lane thì tố cáo không ăn thua còn tự tải tài nguyên khi không cần
44,0,0,1,2,0,2,0,2,0,0,"tốn dung lượng tệ hại, chơi thì lag suốt ngày bảo nạp 5g?, nạp xong vô chơi thì văng game đã vậy còn gặp bọn trẻ trâu nhắn chửi tùm lum mà không bị cấm chat?"
45,0,0,0,2,0,0,0,0,0,0,game lag vô cùng
46,0,2,0,0,0,0,0,2,0,0,đồng đội chán
