review,graphics,matchmaking,store & microtransactions,technical_issue,mechanics,developer_support,event,community,hero_design,difficulty
cơ chế tính kda thì như tệ hại afk với phá thì đánh một tí thì không tố cáo được nói chung cơ chế ghép như tệ hại lệch rank vô cùng,0,2,0,0,2,0,0,2,0,0
có này chơi thì cứ vào là bị xếp với mấy kid trẻ trâu mới vô trận đã chửi mà vô game thì đánh ngu hơn gì nữa ý như rằng thắng 1 trận là thua cả 10 trận,0,2,0,0,0,0,0,2,0,0
"nhân phẩm tài khoản đen nạp mua gương không trúng tôi không nói, giờ cày rank thì gặp lũ phá với feed cay không chịu được, bị hạ sao mà còn tố cáo không được",0,2,2,0,0,2,0,2,0,0
cập nhật xong chơi được 2 trận lại văng game. lâu lâu lại văng game khi đang pick tướng hoặc load trận làm trừ rất nhiều uy tín.,0,0,0,2,2,0,0,0,0,0
set điểm mới như tệ hại không hiểu gà luôn ?????,0,0,0,0,2,2,0,0,0,0
mong game sửa lỗi vô trận chứ gần 6 tháng rồi chưa sửa nổi cái lỗi nguyên ngày mệt mỏi vô game làm trận cúp trận đầu văng tệ hại game xong vô lại thì thua luôn còn bị trừ uy tín do tố cáo quá mệt mỏi với game!,0,0,0,2,2,2,0,0,0,0
mẹ game lag như gì mà chơi xong bị trừ uy tín yêu cầu game sửa lỗi và trả uy tín,0,0,0,2,2,2,0,0,0,0
chơi cứ bị chuỗi thua vô lý đề nghị gà tệ hại lại lỗi ghép trận được nhiều pro hơn,0,2,0,0,0,2,0,0,0,0
rất hay lỗi,0,0,0,2,0,0,0,0,0,0
cơ chế như tệ hại. cộng thêm thắng 1 trận thua 2 trận,0,2,0,0,2,0,0,0,0,0
"quá tốn băng thông, việc tranh lane chỉ giải quyết qua loa, việc ra mắt nhiều skin mới tạo nên gánh nặng lớn lên máy làm ảnh hưởng trải nghiệm quá tệ",1,2,0,2,0,2,0,0,0,0
game ghép toàn tệ hại không đánh lệch trình ra,0,2,0,0,0,0,0,2,0,0
"tệ hại, toàn tệ hại",0,0,0,0,0,0,0,2,0,0
gặp hack map rồi buff bẩn nhiều ạ,0,0,0,2,0,0,0,2,0,0
cái game tệ hại này giờ bắt người chơi đi đâu là phải đi đó. riết rồi tôi không biết tôi đang chơi game hay là làm nhiệm vụ nhà phát hành nó phát nữa.,0,0,0,0,2,0,2,0,0,0
tôi đi rừng game cho con errol thì tôi chọn errol rồi mắc cái gì mà game trừ 5 uy tín vậy game game làm ăn kiểu vậy à,0,0,0,2,0,2,0,0,1,0
gà ơi sao lỗi hoài vậy ạ ?,0,0,0,2,0,2,0,0,0,0
cập nhật mùa mới này tôi phải tải một đống tài nguyên đã thế vào trận còn liên tục bị văng game còn bị giật lag không chơi được game luôn,0,0,0,2,0,0,0,0,0,0
"game trừ uy tín không có lí do chính đáng,ngáo vô cùng",0,0,0,2,2,0,0,0,0,0
xóa đi nha mọi người game ngày càng tệ hại chơi chỉ tổ phí mất thời gian,0,0,0,2,0,0,0,0,0,0
toàn ghép với máy game tệ hại,0,2,0,0,0,0,0,0,0,0
game tệ hại,0,0,0,0,0,0,0,2,0,0
thiên vị giữa đội đỏ và đội xanh mạnh hơn đội đỏ tướng bị giảm sức mạnh đội xanh được tăng sức mạnh,0,2,0,0,2,0,0,0,0,0
tệ hại,0,0,0,0,0,0,0,0,0,0
game quá tệ..toàn bị văng ra rồi bị trừ sao nhà phát hành quá kém toàn hack rồi bị văng,0,0,0,2,0,2,0,0,0,0
không nên chơi,0,0,0,0,0,0,0,0,0,0
vô sửa lỗi game dùm dùng chiêu không có hướng thì sao mà dùng,0,0,0,2,2,2,0,0,0,0
mạng 5 cục vẫn không cho vào máy thì không đến nổi không làm gì lại vậy rất khó chịu,0,0,0,2,0,0,0,0,0,0
vô game mà gặp team gì đâu không chuỗi thua hoài,0,2,0,0,0,0,0,2,0,0
"game tệ, mong như liên minh, cứ afk được 3 trận sẽ cấm chơi game 15 phút lập lại nhiều lần sẽ bị ban tài khoản trong vòng vài tuần hoặc tháng.",0,0,0,0,2,0,0,2,0,0
feed một đống mà tố cáo tệ hại ăn,0,2,0,0,0,0,0,2,0,0
"game tệ hại ra tướng mới thì st cao skin vài ngày lại bị hạ hút lên hút xuống cuối cùng cho bò đi ăn thợ săn nực cười garena trước sau cũng lụi tàn như , chiến dịch huyền thoại, ff thì ối rồi ôi có tiền nạp là khỏe game tệ hại",0,0,2,0,2,2,0,0,2,0
ghép trận lâu thì làm dùm âm thanh cảnh báo lúc sẵn sàng đi,0,2,0,0,0,1,0,0,0,0
mới cập nhật mà các tôi lại không vào được,0,0,0,2,0,0,0,0,0,0
tệ hại chơi rank cao mà gặp toàn tệ hại,0,2,0,0,0,0,0,2,0,0
"giao diện tùm lum, sự kiện lỗi rất nhiều có thể kể đến 1 bấm vào link của ảnh trong phần sự kiện thì lỗi, ấn vào link của trang chủ thì không 2 sự kiện giấc mơ lỗi khi ấn nhận các item để mở khoá ảnh, nếu nhận 2 rewards của nhiệm vụ cùng lúc sẽ bị lỗi thanh tiến độ dẫn đến mở khoá 2 ảnh 3 và 4 nhưng thanh tiến độ không dài thêm khiến không nhận được phần thưởng 3 phần gửi ý kiến 5 6 bị lỗi khiến khá nhiều dạng bàn phím như gboard bị hỏng định dạng làm chữ bị ngược, sắp xếp lộn xộn,....",2,0,0,2,0,0,2,0,0,0
lâu lâu lại lỗi 210 ghép trận thì tranh lane liên tục ghép trận toàn mấy player newbie chuỗi thua.,0,2,0,2,0,0,0,2,0,0
game tệ hại ghép trận toàn mấy thằng tệ hại,0,2,0,0,0,0,0,2,0,0
vào game toàn văng đánh đấm cái gì,0,0,0,2,0,0,0,0,0,0
hôm nay game bị lỗi nữa à,0,0,0,2,0,0,0,0,0,0
game tệ hại cứ bị thoát đã vậy còn trừ uy tín,0,0,0,2,2,0,0,0,0,0
"xếp team tệ hại, chênh lệch hạng quá nhiều",0,2,0,0,0,0,0,0,0,0
game vào đánh xóa dữ liệu điện thoại mới mua mà lag,0,0,0,2,0,0,0,0,0,0
càng lúc càng tệ,0,0,0,0,0,2,0,0,0,0
game như tệ hại team rơi trận vẫn bị mất sao tôi cao xuống 4 uy tín,0,2,0,0,0,0,0,0,0,0
game không hay,0,0,0,0,0,0,0,0,0,0
"quá tệ. trừ uy tín vô lí, làm việc không chuyên nghiệp, quản lí hack không tốt",0,0,0,0,2,2,0,0,0,0
"không hiểu tại sao nhưng game bị lỗi gì rồi í sẽ ạ, đăng nhập tháng 10 được nhận quà chọn một skin s đến ss thì tôi chọn rồi nhưng đến khi xem tướng đó thì lại không có skin đó?",1,0,0,2,0,0,2,0,0,0
nhiều lúc bị tố cáo trừ uy tín 1 cách vô lí quá ad ạ,0,0,0,0,2,1,0,0,0,0
ra chọn lan nó cướp lan của mình xong tố cáo ngược lại mình cái tệ hại tệ hại,0,0,0,0,0,0,0,2,0,0
"game bây giờ dung lượng tải quá cao. gợi tài nguyên hơn 10gb, game chỉ dành cho người chơi có điều kiện máy mới dung lượng cao. còn người ít điều kiện thì lần lượt bỏ game gì không chơi được,..",0,0,0,2,0,0,0,0,0,0
ghép trận tệ hại,0,2,0,0,0,0,0,0,0,0
"lỗi skin mới mrija không fix , máy yếu bật unti là đứng màn",1,0,0,2,0,2,0,0,0,0
"game văng lag chơi gặp toàn trẻ trâu , trừ uy tín thì vô lý vô cùng tố cáo thì không được mà trừ thì lắm tệ hại , ghép đồng đội thì tệ hại không feed mạng thì afk game chán",0,2,0,2,2,0,0,2,0,0
tại sao đầu hàng lại bị mất sao game liên quân tệ hại,0,2,0,0,2,0,0,0,0,0
tệ hại garena làm game bữa nay lag vô cùng ra. với vô trận cứ báo là kết nối lại. làm ăn như tệ hại. hack thì tràn lan,0,0,0,2,0,2,0,2,0,0
khu skin mới kỳ nguyên hổ phách chơi mà chẳng qua được màn 9 khó chịu vô cùng,1,0,0,0,0,0,1,0,0,2
sao tôi không có đăng nhập facebook?,0,0,0,2,0,0,0,0,0,0
cho 1 sao free nạp tiền để mua 4 sao còn lại,0,0,2,0,0,0,0,0,0,0
"tải trận quá lâu và chơi quá lag, lỗi quá nhiều, máy yếu không thể chơi được",0,0,0,2,0,0,0,0,0,0
1 trận văng 5 lần mạng không yếu pin còn hơn nửa cây mà lag văng lỗi chữ.,0,0,0,2,0,0,0,0,0,0
anh gà ơi em vào game sao cứ hiện con violet lên tức vô cùng,0,0,0,2,0,0,0,0,2,0
cơ chế game tệ hại,0,0,0,0,2,0,0,0,0,0
tính năng ghép trận tệ hại,0,2,0,0,0,0,0,0,0,0
"chửi nhiều vô cùng, xong lại còn lag nữa",0,0,0,2,0,0,0,2,0,0
hay nhưng hơi nặng nhưng điểm uy tín của tôi thấp trừ gì mà trừ điểm uy tín 1 trận mà 5 điểm 2 sao không nói nhiều,0,0,0,2,2,0,0,0,0,0
game toàn server đánh thì không ngu mà cứ pick những con tướng không biết chơi,0,0,0,0,0,0,0,2,0,0
tới khúc giao tranh là đơ máy cái tệ hại thiệt chứ,0,0,0,2,0,0,0,0,0,0
game toàn ghép mấy thằng bên mình không biết chơi còn bên nó đánh ghê vô cùng,0,2,0,0,0,0,0,2,0,0
đang chơi mắt tệ hại mà nhịn tệ hại phải chơi hết ván đấu mong nhà phát hành chỉnh sửa,0,0,0,0,2,1,0,0,0,0
"game cũng được, nhưng toàn trẩu, tụi nó phá game mình tố cáo thì không có kết quả, nó tố cáo mình thì mình bị trừ uy tín, game tệ hại luôn, toàn trẩu, phá game, mất tính chất ban đầu của game",0,0,0,0,2,0,0,2,0,0
bình thường,0,0,0,0,0,0,0,0,0,0
game quá lag.tải hết đồ họa thì tầm 10gb mà không tải là nó không có skin.tệ!,2,0,0,2,0,0,0,0,0,0
chiếm dung lượng khủng bố,0,0,0,2,0,0,0,0,0,0
chơi toàn gặp phá game . chơi từ kim cương 3 xuống bạch kim 1 mà không có trận nào bình thường,0,2,0,0,0,0,0,2,0,0
game ghép trận quá lệch,0,2,0,0,0,0,0,0,0,0
"tệ hại, 1 mét vuông 10 thằng hack map",0,0,0,0,0,0,0,2,0,0
ghép toàn lũ tệ hại tranh lane tôi chán game quá rồi game tệ hại,0,2,0,0,0,0,0,2,0,0
văng lag liên tục không hiểu sao càng cập nhật máy càng lag từ lúc cập nhật phiên bản mới xong là văng game liên tục,0,0,0,2,0,0,0,0,0,0
android thì không có 120fps ios lại có ???,1,0,0,2,0,2,0,0,0,0
cập nhật xong game lag hẳn ra tệ hại chơi không được gì,0,0,0,2,0,0,0,0,0,0
tải về chơi có được một ngày rồi đến hôm nay nó nói lỗi mặc định không cho chơi nữa .vô cùng,0,0,0,2,0,0,0,0,0,0
game hay lag là 9,0,0,0,2,0,0,0,0,0,0
đang chơi cái văng game bị lỗi rồi,0,0,0,2,0,0,0,0,0,0
ghép trận gì không à anh gà,0,2,0,0,0,1,0,2,0,0
đăng nhập garena mà bị đẩy ra vào lại cũng vậy,0,0,0,2,0,0,0,0,0,0
tôi không còn từ gì để diễn tả game này.,0,0,0,0,0,0,0,0,0,0
bảo mật kiểu gì người ta lấy tài khoản không bảo mật khẩu cảnh báo gì hết vậy cũng không hỗ trợ lấy tài khoản lại,0,0,0,0,0,2,0,0,0,0
ghép lệch trình vô cùng,0,2,0,0,0,0,0,0,0,0
"này lòi ra lỗi 86 nữa, vừa chọn tướng xong đợi vô trận chạy gần full cây đứng im miết không vô, out ra vô lại dính 86 không vào được nữa chứ riết hết muốn chơi.",0,0,0,2,0,0,0,0,0,0
games ngày 7 tháng 11 năm 2025 games quá lỗi không vào được,0,0,0,2,0,0,0,0,0,0
"có hiểu vấn đề không?,không biết tối ưu game hay gì mà để nó cứ cập nhật là lag",0,0,0,2,0,2,0,0,0,0
"mắc team mình toàn ta mà team bạn toàn mắc thách đấu, chiến tướng không ghép lệch rank vậy sao chơi được",0,2,0,0,0,0,0,0,0,0
bộ điều khiển game cứ thấy người ta không chơi tốt hoặc chết nhiều là trừ uy tín và nói phá game,0,0,0,0,2,0,0,0,0,2
update quá tệ,0,0,0,0,0,2,0,0,0,0
"rất tệ, mọi người đừng nên tải.",0,0,0,0,0,0,0,0,0,0
update xong out 10 lần,0,0,0,2,0,0,0,0,0,0
"game bị sao vậy, vào xong nó bảo bị lỗi ???",0,0,0,2,0,0,0,0,0,0
không chịu nghe phản hồi người chơi về vấn đề lỗi game,0,0,0,2,0,2,0,0,0,0
game tệ hại lag hoài,0,0,0,2,0,0,0,0,0,0
game trừ quá nhiều uy tín,0,0,0,0,2,0,0,0,0,0
"xếp team gì toàn gặp âm binh, không tranh vị trí thì cũng không biết giữ vị trí, ôi ghép team mình thì như bọn newbie còn team bạn thì như cao thủ xuống đánh. hành ăn 10 bát cơm không hết, chơi giải trí mà ghép với đồng đội như gà mới nở coi mà bực cả mình.",0,2,0,0,0,0,0,2,0,0
chơi không được mặc dù đầy đủ wifi,0,0,0,2,0,0,0,0,0,0
game con mẹ mày toàn sắp team afk sống rồi trừ sao tao huệ chết. app không khắc phục được thì dẹp game đi. tệ hại app tệ hại,0,2,0,2,0,2,0,2,0,0
em bất lực lắm rồi đấy ạ garena thua em cũng bị rớt điểm uy tín nữa chết cũng phạm lỗi nữa là sao thôi em chịu,0,0,0,2,2,2,0,0,0,0
game chơi hay đấy nhưng phá game nhiều vô cùng chơi khó chịu đồng đội afk mà vẫn bị trừ sao.,0,2,0,0,0,0,0,2,0,0
game còn mấy lỗi chưa fix,0,0,0,2,0,0,0,0,0,0
buff mạnh mấy con out meta lẹ,0,0,0,0,1,1,0,0,1,0
"rank thấp mà ghép rank cao , công bằng ở đâu vậy , game có bị vấn đề về não không?",0,2,0,0,0,0,0,0,0,0
"cập nhật xong vào không được, cứ bị văng ra suốt tệ hại vô cùng",0,0,0,2,2,0,0,0,0,0
trời ơi game nó lag mà lag kinh khủng có khi văng game đơ máy luôn còn bị trừ uy tín nữa bực ghê trời,0,0,0,2,2,0,0,0,0,0
xóa hết mấy thằng liệt nút đánh thường đi,0,0,0,0,2,0,0,2,0,0
game càng ngày càng tệ hại,0,0,0,0,0,0,0,0,0,0
game tệ hại,0,0,0,0,0,0,0,0,0,0
làm ơn sửa lại lỗi không cho vô trận đi cứ bị mất uy tín oan,0,0,0,2,2,2,0,0,0,0
trả tao gank kim cương nhanhhhhh tài khoản tao muhehehegon đó !,0,1,0,0,0,0,0,0,0,0
không biết có ai bị hay không mà riêng máy tôi mỗi lần vừa đăng nhập vào game là hay bị dính hình con tellanna ý không chơi được luôn game sửa lỗi giùm đi,2,0,0,2,0,2,0,0,0,0
"wifi người ta lỗi thì đổi sang 4g để chơi rồi vẫn không cho vào, vào được rồi cuối game đi phạt uy tín người ta",0,0,0,2,2,0,0,0,0,0
game tệ hại xếp trận cho toàn mấy thằng gà chơi 10 trận rồi không thắng được trận nào nói chung là tệ hại thà đi mobile legends bang bang còn hơn tệ hại game tệ hại,0,2,0,0,0,0,0,2,0,0
game tệ hại lag tệ hại,0,0,0,2,0,0,0,0,0,0
sửa lỗi đi máy mới mua mở liên quân chơi load ở số 86 30 phút rồi mà không có vào được,0,0,0,2,0,2,0,0,0,0
"chơi thường xuyên bị văng game, trừ uy tín không hợp lí",0,2,0,2,2,0,0,0,0,0
đang chơi thì văng game rất nhiều mong nhà phát hành khắc phục tình trạng này,0,0,0,2,0,2,0,0,0,0
game tệ hại,0,0,0,0,0,0,0,0,0,0
