id,comment,graphics,matchmaking,store & microtransactions,technical_issue,mechanics,developer_support,event,community,hero_design,difficulty,timestamp,version,normalized,svm,phobert,qwen
1,game thì hút máu vcl,0,0,2,0,0,0,0,0,0,0,2025-03-23 12:18:19,1.57.1.8,game thì hút máu vô cùng,game thì hút máu vô_cùng,game thì hút máu vô_cùng,game thì hút máu vô cùng
2,Sao tài khoản garena k vào dc vậy,0,0,0,2,0,0,0,0,0,0,2025-03-16 16:10:02,1.57.1.2,sao tài khoản garena không vào được vậy,sao tài_khoản garena không_vào được vậy,sao tài_khoản garena không vào được vậy,sao tài khoản garena không vào được vậy
3,Game mục nát lắm rồi nên xoá khỏi sv việt nam,0,0,0,0,0,0,0,0,0,0,2025-03-12 15:27:43,1.57.1.2,game mục nát lắm rồi nên xóa khỏi server việt nam,game mục_nát lắm rồi nên xóa khỏi server việt_nam,game mục_nát lắm rồi nên xóa khỏi server việt_nam,game mục nát lắm rồi nên xóa khỏi server việt nam
4,Như cc ko dăng nhập đc,0,0,0,2,0,0,0,0,0,0,2025-03-04 22:23:20,1.57.1.2,tệ hại không đăng nhập được,tệ_hại không_đăng_nhập được,tệ_hại không đăng_nhập được,tệ hại không đăng nhập được
5,Trải nghiệm quá tệ cần fix nhiều lỗi,0,0,0,2,0,2,0,0,0,0,2025-03-08 18:03:24,1.57.1.2,trải nghiệm quá tệ cần fix nhiều lỗi,trải nghiệm quá tệ cần fix nhiều lỗi,trải_nghiệm quá tệ cần fix nhiều lỗi,trải nghiệm quá tệ cần fix nhiều lỗi
6,"Game bị ngáo lol hả, nghĩ sao 1 trận MVP Mà cộng có 20 điểm mà trận thua trừ hơn 40 điểm ( trong khi là MVP thua) Với gặp trẻ trâu toàn phá game nghĩ sao nó gặp địch là cứ phi vào địch rồi chết hết rồi chửi ngta ngu, game kiểu này bị đem ra so sánh với mấy game khác là đúng rồi còn thua xa roblox.",0,2,0,0,0,0,0,2,0,0,2025-03-05 18:49:56,1.57.1.2,"game bị tệ hại hả, nghĩ sao 1 trận mvp mà cộng có 20 điểm mà trận thua trừ hơn 40 điểm trong khi là mvp thua với gặp trẻ trâu toàn phá game nghĩ sao nó gặp địch là cứ phi vào địch rồi chết hết rồi chửi người ta ngu, game kiểu này bị đem ra so sánh với mấy game khác là đúng rồi còn thua xa roblox.",game bị tệ_hại hả nghĩ sao <NUM> trận mvp mà cộng có <NUM> điểm mà trận thua trừ hơn <NUM> điểm trong khi là mvp thua với gặp trẻ trâu toàn phá game nghĩ sao nó gặp địch là cứ phi vào địch rồi chết hết rồi chửi người_ta ngu game kiểu này bị đem ra so_sánh với mấy game khác là đúng rồi còn thua xa roblox,"game bị tệ_hại hả , nghĩ sao 1 trận mvp mà cộng có 20 điểm mà trận thua_trừ hơn 40 điểm trong khi là mvp_thua với gặp trẻ trâu toàn phá game nghĩ sao nó gặp địch là cứ phi vào địch rồi chết hết rồi chửi người ta ngu , game kiểu này bị đem ra so_sánh với mấy game khác là đúng rồi còn thua xa roblox .","game bị tệ hại hả, nghĩ sao 1 trận mvp mà cộng có 20 điểm mà trận thua trừ hơn 40 điểm trong khi là mvp thua với gặp trẻ trâu toàn phá game nghĩ sao nó gặp địch là cứ phi vào địch rồi chết hết rồi chửi người ta ngu, game kiểu này bị đem ra so sánh với mấy game khác là đúng rồi còn thua xa roblox."
7,game như c chắn,0,0,0,0,0,0,0,0,0,0,2025-03-08 01:22:07,1.57.1.2,game tệ hại,game tệ_hại,game tệ_hại,game tệ hại
8,A gà ơi sao a buff raz quá vậy xin a cân bằng lại làm ơn đó,0,0,0,0,2,1,0,0,1,0,2025-03-01 16:12:22,1.57.1.2,a gà ơi sao a buff raz quá vậy xin a cân bằng lại làm ơn đó,a gà ơi sao a buff raz quá vậy xin a cân_bằng lại làm_ơn đó,a gà ơi sao a_buff raz quá vậy xin a cân_bằng lại làm ơn đó,a gà ơi sao a buff raz quá vậy xin a cân bằng lại làm ơn đó
9,đề nghị xác minh độ tuổi rồi mới cho chơi,0,0,0,0,0,1,0,0,0,0,2025-03-08 09:04:09,1.57.1.2,đề nghị xác minh độ tuổi rồi mới cho chơi,đề_nghị xác_minh độ tuổi rồi mới cho chơi,đề_nghị xác_minh độ tuổi rồi mới cho chơi,đề nghị xác minh độ tuổi rồi mới cho chơi
10,game rác vãi,0,0,0,0,0,0,0,0,0,0,2025-03-19 22:55:41,1.57.1.2,game tệ hại vô cùng,game tệ_hại vô_cùng,game tệ_hại vô_cùng,game tệ hại vô cùng
